,Alien taxon involved?,Wild formed,Hybrid Ploidy,Hybrid Chromosome number,Parent A,Parent B,Ploidy A,Chromosome number A,Ploidy B,Chromosome Number B,Within/Between Species,Is hybrid a species?,Within/Between ploidy level,Notes?,Hybrid Name,Aneuploidy,"Unless otherwise stated, ploidy estimates are from either the book, or The Kew database",Hybrid species name,Hybrid species nature
436,,NA,,,Verbascum phlomoides,Verbascum nigrum,2,"32, 34",2,30,Between,No,Within,,,NA,NA,,
437,,NA,,,Verbascum phlomoides,Verbascum pulverulentum,2,"32, 34",2,32,Between,No,Within,,,NA,NA,,
438,,NA,,,Verbascum densiflorum,Verbascum nigrum,2,32 (Russian book as thapsiforme),2,30,Between,No,,,,NA,NA,,
439,,NA,,,Verbascum thapsus,Verbascum nigrum,2,"34, 36",2,30,Between,No,Within,,,NA,NA,,
440,,NA,,,Verbascum thapsus,Verbascum speciosum,2,"34, 36",2,28,Between,No,Within,,,NA,NA,,
441,,NA,,,Verbascum thapsus,Verbascum pulverulentum,2,"34, 36",2,32,Between,No,Within,,,NA,NA,,
442,,NA,,,Verbascum thapsus,Verbascum lychnitis,2,"34, 36",2,"26, 32, 34",Between,No,,,,NA,NA,,
443,,NA,,,Verbascum nigrum,Verbascum speciosum,2,30,2,28,Between,No,Within,,,NA,NA,,
444,,NA,,,Verbascum nigrum,Verbascum pulverulentum,2,30,2,32,Between,No,Within,,,NA,NA,,
445,,NA,,,Verbascum nigrum,Verbascum lychnitis,2,30,2,"26, 32, 34",Between,No,,,,NA,NA,,
446,,NA,,,Verbascum pulverulentum,Verbascum lychnitis,2,32,2,"26, 32, 34",Between,No,,Incompatibility in polyploids,,NA,NA,,
447,,NA,,30,Limosella aquatica,Limosella australis,4,40,2,20,Between,No,Between,https://watermark.silverchair.com/31-1-147.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAnwwggJ4BgkqhkiG9w0BBwagggJpMIICZQIBADCCAl4GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMCdRIyHCdCZ5FGHzoAgEQgIICL1uFFcxMHcMQ5SAtGlzSVi-I60vmFhJqCU91eNRkpQZSKvyxaG4Ox11425AyM7iYfZmKwWOOzelYhZFwP5D-ioEjdnUDy7SWP_12hZyNKSYWvPoBebon_bjM2RZSuYK4dZqOsWrWR3KMrTKfOmLeRHgmJg0ejDdZe16KSKHR4ebNawZXgjozSKvOvC4P9JPCjPk4iDTTvW-yHM7ZxYZ7cF-euo0noR9O7_yUUPwO8XrTfHJ4UrKNyRPtdI-l8qaxwdnhmclrozL7MJo9B9x-U8LPQ6TyIbV4bZYrpjtV3QBd1EMyhLc8NgWy3IHzUir5tT1SM87pphb3ou78cEGqpvWeAkwXFqhp8BVfUOXE_GfoC0mnX2dBYKvJu6irzfBaRIP0EUgOuVTxzQLdTFcmz2OfCiJMnztO6B6690-OI1a-60SH4ekY0iLcgMIlHPduPGqxzkH6bPtISDR84r1GOSSdj7DLQrooJam5maXaYwXIw1Y8dfNUFowxgbDfcWOFn5QqSXqj7CEcZqH-zLWnSiLEBbHd8p634ccurUnMtVWKBUTA1KGxrZWZRZtF1s-0CIZc-hdTH5wNj0bk5FHnt79rBxIeJwu6yZyACQguNz27IfpfbM9BlSvJZfn8YDyyvUS8Mw9sxhXS7qavPeDOx7CIi2k-wUPgYq1kotWLz5U9Dyb4-0aoJ0Jh200HOGC6gt7DkkF_wlCkPnrHYtqxW82174AkM3kPF4M0Pdltmhc,The Reproduction and Germination of Limosella aquatica,NA,NA,,
448,,NA,,,Buddleja davidii,Buddleja globosa,4,76,2,38,Between,No,Between,Ploidy variation in Buddleja L. (Buddlejaceae) in the Sino-Himalayan region and its biogeographical implications,,NA,NA,,
449,,NA,,83,Stachys sylvatica,Stachys palustris,8,64,6,102,Between,No,Between,,,NA,NA,,
450,,NA,,32,Galeopsis tetrahit,Galeopsis bifida,4,32,4,32,Between,No,Within,,,NA,NA,,
451,,NA,,,Scutellaria galericulata,Scutellaria minor,4,"30, 32",4,"28, 32",Between,No,Within,A cytological study of the British Labiatae,,NA,NA,,
452,,NA,,,Ajuga reptans,Ajuga pyramidalis,4,32,4,32,Between,No,Within,A cytological study of the British Labiatae,,NA,NA,,
453,,NA,,,Nepeta racemosa,Nepeta nepetella,2,18,2,"34, 36",Between,No,Between,NEW OR RARE CHROMOSOME COUNTS OF SOME ANGIOSPERM SPECIES FROM IRAN II,Chromosome count and karyotype study of eleven Nepeta L.(Lamiaceae) species from Iran,NA,NA,,
454,,NA,,28,Prunella vulgaris,Prunella laciniata,4,28,4,28,Between,No,Within,A cytological study of the British Labiatae,,NA,NA,,
455,,NA,,,Thymus pulegioides,Thymus vulgaris,4,28,2,30,Between,No,Within," Physiological, morphological, chemical and genomic diversities of different origins of thyme (Thymus vulgaris L.)",,NA,NA,,
456,,NA,,"42, 78, 84, 90, 96, 120, 132",Mentha arvensis,Mentha aquatica,6,72,8,96,Between,No,Between,Triple hybrid with spicata,,NA,NA,,
457,,NA,,"54, 60, 84, 96, 108, 120",Mentha arvensis,Mentha spicata,6,72,4,48,Between,No,Between,,,NA,NA,,
458,,NA,,60,Mentha arvensis,Mentha suaveolens,6,72,2,24,Between,No,Between,,,NA,NA,,
459,,NA,,"66, 72",Mentha aquatica,Mentha spicata,8,96,4,48,Between,No,Between,,,NA,NA,,
460,,NA,,"60, 72-8, 84, 120",Mentha aquatica,Mentha suaveolens,8,96,2,24,Between,No,Between,,,NA,NA,,
461,,NA,Triploid,36,Mentha spicata,Mentha longifolia,4,48,2,24,Between,No,Between,,,NA,NA,,
462,,NA,Triploid,36,Mentha spicata,Mentha suaveolens,4,48,2,24,Between,No,Between,,,NA,NA,,
463,,NA,,,Mentha longifolia,Mentha suaveolens,2,24,2,24,Between,No,Within,,,NA,NA,,
464,,NA,,,Salvia pratensis,Salvia nemorosa,2,"16, 18, 20",2,"12, 14, 16",Between,No,,The significance of genetic erosion in the process of extinction. I. Genetic differentiation in Salvia pratensis and Scabiosa columbaria in relation to population size,,NA,NA,,
465,,NA,,"44, 45, 46, 54",Erythranthe guttata,Erythranthe lutea,2,"28, 30, 32, 56",4,"60, 62, 64",Between,Yes,Between,Triple hybrid with cupreus,Monkeying around with ploidy,NA,NA,Mimulus peregrinus,Amphidiploid
466,,NA,,45,Erythranthe guttata,Erythranthe cuprea,2,"28, 30, 32, 56",4,"62, 64",Between,No,Between,Monkeying around with ploidy,,NA,NA,,
467,,NA,,,Erythranthe lutea,Erythranthe cuprea,4,"60, 62, 64",4,"62, 64",Between,No,Within,,,NA,NA,,
468,,NA,,,Euphrasia rostkoviana,Euphrasia anglica,2,22,2,22,Between,No,Within,,,NA,NA,,
469,,NA,,,Euphrasia rostkoviana,Euphrasia rivularis,2,22,2,22,Between,No,Within,,,NA,NA,,
470,,NA,,,Euphrasia rostkoviana,Euphrasia arctica,2,22,4,44,Between,No,Between,,,NA,NA,,
471,,NA,,,Euphrasia rostkoviana,Euphrasia nemorosa,2,22,4,44,Between,No,Between,,,NA,NA,,
472,,NA,,,Euphrasia rostkoviana,Euphrasia confusa,2,22,4,44,Between,No,Between,,,NA,NA,,
473,,NA,,,Euphrasia rostkoviana,Euphrasia micrantha,2,22,4,44,Between,No,Between,,,NA,NA,,
474,,NA,,,Euphrasia montana,Euphrasia rivularis,2,22,2,22,Between,No,Within,,,NA,NA,,
475,,NA,,,Euphrasia montana,Euphrasia confusa,2,22,4,44,Between,No,Between,,,NA,NA,,
476,,NA,,,Euphrasia anglica,Euphrasia vigursii,2,22,2,22,Between,No,Within,,,NA,NA,,
477,,NA,,,Euphrasia anglica,Euphrasia arctica,2,22,4,44,Between,No,Between,,,NA,NA,,
478,,NA,,,Euphrasia anglica,Euphrasia tetraquetra,2,22,4,44,Between,No,Between,,,NA,NA,,
479,,NA,,,Euphrasia anglica,Euphrasia nemorosa,2,22,4,44,Between,No,Between,,,NA,NA,,
480,,NA,,,Euphrasia anglica,Euphrasia confusa,2,22,4,44,Between,No,Between,,,NA,NA,,
481,,NA,,,Euphrasia anglica,Euphrasia micrantha,2,22,4,44,Between,No,Between,,,NA,NA,Euphrasia vigursii,Neodiploid
482,,NA,,,Euphrasia rivularis,Euphrasia scottica,2,22,4,44,Between,No,Between,Triple hybrid with E. confusa,,NA,NA,,
483,,NA,,,Euphrasia vigursii,Euphrasia tetraquetra,2,22,4,44,Between,No,Between,,,NA,NA,,
484,,NA,,,Euphrasia vigursii,Euphrasia micrantha,2,22,4,44,Between,No,Between,,,NA,NA,,
485,,NA,,,Euphrasia arctica,Euphrasia tetraquetra,4,44,4,44,Between,No,Within,,,NA,NA,,
486,,NA,,,Euphrasia arctica,Euphrasia nemorosa,4,44,4,44,Between,No,Within,Triple hybrid with E. confusa and E. micrantha,,NA,NA,,
487,,NA,,,Euphrasia arctica,Euphrasia confusa,4,44,4,44,Between,No,Within,,,NA,NA,,
488,,NA,,,Euphrasia arctica,Euphrasia frigida,4,44,4,44,Between,No,Within,,,NA,NA,,
489,,NA,,,Euphrasia arctica,Euphrasia foulaensis,4,44,4,44,Between,No,Within,,,NA,NA,,
490,,NA,,,Euphrasia arctica,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
491,,NA,,,Euphrasia arctica,Euphrasia marshallii,4,44,4,44,Between,No,Within,,,NA,NA,,
492,,NA,,,Euphrasia arctica,Euphrasia rotundifolia,4,44,4,44,Between,No,Within,,,NA,NA,,
493,,NA,,,Euphrasia arctica,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
494,,NA,,,Euphrasia arctica,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
495,,NA,,,Euphrasia arctica,Euphrasia heslop-harrisonii,4,44,4,44,Between,No,Within,,,NA,NA,,
496,,NA,,,Euphrasia arctica,Euphrasia salisburgensis,4,44,4,44,Between,No,Within,,,NA,NA,,
497,,NA,,,Euphrasia tetraquetra,Euphrasia nemorosa,4,44,4,44,Between,No,Within,,,NA,NA,,
498,,NA,,,Euphrasia tetraquetra,Euphrasia pseudokerneri,4,44,4,44,Between,No,Within,,,NA,NA,,
499,,NA,,,Euphrasia tetraquetra,Euphrasia confusa,4,44,4,44,Between,No,Within,,,NA,NA,,
500,,NA,,,Euphrasia tetraquetra,Euphrasia stricta,4,44,4,44,Between,No,Within,,,NA,NA,,
501,,NA,,,Euphrasia tetraquetra,Euphrasia foulaensis,4,44,4,44,Between,No,Within,,,NA,NA,,
502,,NA,,,Euphrasia tetraquetra,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
503,,NA,,,Euphrasia tetraquetra,Euphrasia marshallii,4,44,4,44,Between,No,Within,,,NA,NA,,
504,,NA,,,Euphrasia tetraquetra,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
505,,NA,,,Euphrasia nemorosa,Euphrasia pseudokerneri,4,44,4,44,Between,No,Within,,,NA,NA,,
506,,NA,,,Euphrasia nemorosa,Euphrasia confusa,4,44,4,44,Between,No,Within,Triple hybrid with scottica,,NA,NA,,
507,,NA,,,Euphrasia nemorosa,Euphrasia stricta,4,44,4,44,Between,No,Within,,,NA,NA,,
508,,NA,,,Euphrasia nemorosa,Euphrasia foulaensis,4,44,4,44,Between,No,Within,,,NA,NA,,
509,,NA,,,Euphrasia nemorosa,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
510,,NA,,,Euphrasia nemorosa,Euphrasia marshallii,4,44,4,44,Between,No,Within,Triple hybrid with micrantha,,NA,NA,,
511,,NA,,,Euphrasia nemorosa,Euphrasia campbelliae,4,44,4,44,Between,No,Within,,,NA,NA,,
512,,NA,,,Euphrasia nemorosa,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
513,,NA,,,Euphrasia nemorosa,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
514,,NA,,,Euphrasia nemorosa,Euphrasia heslop-harrisonii,4,44,4,44,Between,No,Within,,,NA,NA,,
515,,NA,,,Euphrasia nemorosa,Euphrasia salisburgensis,4,44,4,44,Between,No,Within,,,NA,NA,,
516,,NA,,,Euphrasia pseudokerneri,Euphrasia confusa,4,44,4,44,Between,No,Within,,,NA,NA,,
517,,NA,,,Euphrasia confusa,Euphrasia frigida,4,44,4,44,Between,No,Within,Triple hybrid with scottica,,NA,NA,,
518,,NA,,,Euphrasia confusa,Euphrasia foulaensis,4,44,4,44,Between,No,Within,,,NA,NA,,
519,,NA,,,Euphrasia confusa,Euphrasia cambrica,4,44,4,44,Between,No,Within,,,NA,NA,,
520,,NA,,,Euphrasia confusa,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
521,,NA,,,Euphrasia confusa,Euphrasia campbelliae,4,44,4,44,Between,No,Within,,,NA,NA,,
522,,NA,,,Euphrasia confusa,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
523,,NA,,,Euphrasia confusa,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
524,,NA,,,Euphrasia frigida,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
525,,NA,,,Euphrasia frigida,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
526,,NA,,,Euphrasia frigida,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
527,,NA,,,Euphrasia foulaensis,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
528,,NA,,,Euphrasia foulaensis,Euphrasia marshallii,4,44,4,44,Between,No,Within,,,NA,NA,,
529,,NA,,,Euphrasia foulaensis,Euphrasia rotundifolia,4,44,4,44,Between,No,Within,,,NA,NA,,
530,,NA,,,Euphrasia foulaensis,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
531,,NA,,,Euphrasia foulaensis,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
532,,NA,,,Euphrasia cambrica,Euphrasia ostenfeldii,4,44,4,44,Between,No,Within,,,NA,NA,,
533,,NA,,,Euphrasia cambrica,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
534,,NA,,,Euphrasia ostenfeldii,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
535,,NA,,,Euphrasia ostenfeldii,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
536,,NA,,,Euphrasia marshallii,Euphrasia rotundifolia,4,44,4,44,Between,No,Within,,,NA,NA,,
537,,NA,,,Euphrasia marshallii,Euphrasia campbelliae,4,44,4,44,Between,No,Within,,,NA,NA,,
538,,NA,,,Euphrasia marshallii,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
539,,NA,,,Euphrasia marshallii,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
540,,NA,,,Euphrasia rotundifolia,Euphrasia campbelliae,4,44,4,44,Between,No,Within,,,NA,NA,,
541,,NA,,,Euphrasia campbelliae,Euphrasia micrantha,4,44,4,44,Between,No,Within,,,NA,NA,,
542,,NA,,,Euphrasia campbelliae,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
543,,NA,,,Euphrasia micrantha,Euphrasia scottica,4,44,4,44,Between,No,Within,,,NA,NA,,
544,,NA,,,Euphrasia micrantha,Euphrasia salisburgensis,4,44,4,44,Between,No,Within,,,NA,NA,,
545,,NA,,,Pinguicula vulgaris,Pinguicula grandiflora,8,64 (32),Multiple,"32, 64",Between,No,,,,NA,NA,,
546,,NA,,,Ilex aquifolium,Ilex perado,2,40,Unknown,,Between,No,,,,NA,NA,,
547,,NA,,,Echinops exaltatus,Echinops sphaerocephalus,Unknown,,Unknown,,Between,No,,,,NA,NA,,
548,,NA,,,Arctium lappa,Arctium minus,2,36,2,36,Between,No,Within,Male meiosis and chromosome number in Asteraceae family from district Kangra of HP (Western Himalayas),,NA,NA,,
549,,NA,,,Carduus crispus,Carduus nutans,2,16,2,16,Between,No,Within,"Comparative growth response in Carduus nutans, C. acanthoides, and their F1 hybrids",,NA,NA,,
550,,NA,,,Cirsium eriophorum,Cirsium vulgare,2,34,4,68,Between,No,Between,,,NA,NA,,
551,,NA,,,Cirsium vulgare,Cirsium acaule,4,68,2,34,Between,No,Between,,,NA,NA,,
552,,NA,,,Cirsium vulgare,Cirsium palustre,4,68,2,34,Between,No,Between,,,NA,NA,,
553,,NA,,,Cirsium dissectum,Cirsium acaule,2,34,2,34,Between,No,Within,,,NA,NA,,
554,,NA,,,Cirsium dissectum,Cirsium palustre,2,34,2,34,Between,No,Within,,,NA,NA,,
555,,NA,,,Cirsium tuberosum,Cirsium acaule,2,34,2,34,Between,No,Within,,,NA,NA,,
556,,NA,,,Cirsium tuberosum,Cirsium palustre,2,34,2,34,Between,No,Within,,,NA,NA,,
557,,NA,,,Cirsium heterophyllum,Cirsium palustre,2,34,2,34,Between,No,Within,,,NA,NA,,
558,,NA,,,Cirsium heterophyllum,Cirsium arvense,2,34,2,34,Between,No,Within,,,NA,NA,,
559,,NA,,,Cirsium acaule,Cirsium palustre,2,34,2,34,Between,No,Within,,,NA,NA,,
560,,NA,,,Cirsium acaule,Cirsium arvense,2,34,2,34,Between,No,Within,,,NA,NA,,
561,,NA,,,Cirsium palustre,Cirsium arvense,2,34,2,34,Between,No,Within,,,NA,NA,,
562,,NA,,44,Centaurea nigra,Centaurea debeauxii,4,44,4,44,Between,No,,Diploids occurr on the continent? Also triple hybrid with jaca,,NA,NA,,
563,,NA,,44,Centaurea nigra,Centaurea jacea,4,44,4,44,Between,No,Within,,,NA,NA,,
564,,NA,,44,Centaurea debeauxii,Centaurea jacea,4,44,4,44,Between,No,Within,"Ecological, morphological and allozymic differentiation between diploid and tetraploid knapweeds (Centaurea jacea) from a contact zone in the Belgian …",,NA,NA,,
565,,NA,,9,Hypochaeris radicata,Hypochaeris glabra,2,8,2,10,Between,No,,,,NA,NA,,
566,,NA,,,Leontodon hispidus,Leontodon saxatilis,2,14,2,8,Between,No,Within,,,NA,NA,,
567,,NA,,12,Tragopogon pratensis,Tragopogon porrifolius,2,12,2,12,Between,No,Within,,,NA,NA,,
568,,NA,,,Sonchus oleraceus,Sonchus asper,4,32,2,18,Between,No,Between,Spontaneous Hybrids between Sonchus asper and S. oleraceus,,NA,NA,,
569,,NA,,Artifical hybrid 27,Pilosella peleteriana,Pilosella officinarum,2,18,Multiple,"18, 27, 36, 45, 54, 63",Between,No,,,,NA,NA,,
570,,NA,,"(27, 36, 45, 54, 63",Pilosella officinarum,Pilosella aurantiaca,Multiple,"18, 27, 36, 45, 54, 63",4,"36 (18, 27, 36, 45, 54, 63, 72)",Between,No,,,,NA,NA,,
571,,NA,,"(18, 27, 36)",Pilosella caespitosa,Pilosella lactucella,Multiple,"(18, 27, 36, 45)",2,18,Between,No,,,,NA,NA,,
572,,NA,,,Solidago virgaurea,Solidago canadensis,2,18,Multiple,"(18, 54)",Between,No,,,,NA,NA,,
573,,NA,,,Symphyotrichum laeve,Symphyotrichum novi-belgii,12,48,12,48,Between,No,Within,Biosystematics of a Western North American Polyploid Complex in the Genus Aster,,NA,NA,,
574,,NA,,,Symphyotrichum novi-belgii,Symphyotrichum lanceolatum,Multiple,"32, 40, 48, 56, 64",Do10,48,Between,No,,Biosystematics of a Western North American Polyploid Complex in the Genus Aster,,NA,NA,,
575,,NA,,,Erigeron acris,Erigeron canadensis,2,18,2,18,Between,No,Within,The biology of Canadian weeds. 115. Conyza canadensis,,NA,NA,,
576,,NA,,,Erigeron acris,Erigeron floribundus,2,18,6,54,Between,No,,,,NA,NA,,
577,,NA,,,Erigeron acris,Erigeron sumatrensis,2,18,6,54,Between,No,,,,NA,NA,,
578,,NA,,,Erigeron canadensis,Erigeron bonariensis,2,18,Multiple,"18, 36, 54",Between,No,,,,NA,NA,,
579,,NA,,34,Artemisia vulgaris,Artemisia verlotiorum,2,16,6,"48, 50, 52, 54",Between,No,,https://www.tandfonline.com/doi/full/10.1080/11263504.2010.522783,,NA,NA,,
580,,NA,,18,Anthemis cotula,Tripleurospermum inodorum,2,18,2,18,Between,No,Within,,,NA,NA,,
581,,NA,,,Leucanthemum lacustre,Leucanthemum maximum,12,108,22,198,Between,No,,Genome Evolution and Polyploidy in Leucanthemum Vulgare Lam. Aggr. (Compositae). Karyotype Analysis and DNA Microdensitometry,,NA,NA,,
582,,NA,,18,Tripleurospermum maritimum,Tripleurospermum inodorum,2,18,2,18,Between,No,Within,Chromosome numbers in Tripleurospermum Sch. Bip. (Asteraceae) and closely related genera: relationships between ploidy level and stomatal length,,NA,NA,,
583,,NA,,,Jacobaea maritima,Jacobaea vulgaris,4,40,4,40,Between,No,Within,,,NA,NA,,
584,,NA,,,Jacobaea maritima,Jacobaea erucifolius,4,40,4,40,Between,No,Within,,,NA,NA,,
585,,NA,,,Jacobaea vulgaris,Jacobaea aquatica,4,40,4,40,Between,No,Within,,,NA,NA,,
586,,NA,,"30, 40, 60",Senecio squalidus,Senecio vulgaris,2,20,4,40,Between,Yes,Between,,,NA,NA,"Senecio cambrensis, Senecio eboracensis",amphidiploid
587,,NA,,30,Senecio squalidus,Senecio viscosus,2,20,4,40,Between,No,Between,,,NA,NA,,
588,,NA,,30,Senecio vulgaris,Senecio leucanthemifolius,4,40,2,20,Between,No,Between,,,NA,NA,,
589,,NA,,40,Senecio sylvaticus,Senecio viscosus,4,40,4,40,Between,No,Within,,,NA,NA,,
590,,NA,,,Doronicum pardalianches,Doronicum plantagineum,2,60,4,120,Between,No,Between,Triple hybrid with D. columnae,"Homoploid hybrid speciation in Doronicum L. (Asteraceae)? Morphological, karyological and molecular evidences",NA,NA,,
591,,NA,,51,Helianthus annuus,Helianthus decapetalus,2,34,Multiple,"34, 68, 102",Between,No,,,,NA,NA,,
592,,NA,,,Gaillardia aristata,Gaillardia pulchella,2,34,2,34,Between,No,Within,Cytological Differentiation in Gaillardia pulchella,,NA,NA,,
593,,NA,,,Viburnum lantana,Viburnum rhytidophyllum,2,18,2,18,Between,No,Within,,,NA,NA,,
594,,NA,,,Dipsacus fullonum,Dipsacus sativus,2,18,2,18,Between,No,Within,,,NA,NA,,
595,,NA,,,Dipsacus fullonum,Dipsacus laciniatus,2,18,2,"16, 18",Between,No,Within,,,NA,NA,,
596,,NA,,,Apium nodiflorum,Apium repens,2,22,2,22,Between,No,Within,,,NA,NA,,
597,,NA,,,Apium nodiflorum,Apium inundatum,2,22,2,22,Between,No,Within,,,NA,NA,,
598,,NA,,,Heracleum sphondylium,Heracleum mantegazzianum,2,22,2,22,Between,No,Within,,,NA,NA,,
599,,NA,,,Arum maculatum,Arum italicum,8,56,12,"83, 84",Between,No,Between,,,NA,NA,,
600,,NA,,"(20, 21)",Alisma plantago-aquatica,Alisma lanceolatum,2,"14 (10, 12, 14, 16)",4,"28 (24, 26, 28)",Between,No,Between,,,NA,NA,,
601,,NA,,40,Potamogeton natans,Potamogeton polygonifolius,4,52,2,28,Between,No,Between,,,NA,NA,,
602,,NA,,52,Potamogeton natans,Potamogeton nodosus,4,52,4,52,Between,No,Within,,,NA,NA,,
603,,NA,,,Potamogeton natans,Potamogeton lucens,4,52,4,52,Between,No,Within,,,NA,NA,,
604,,NA,,,Potamogeton natans,Potamogeton gramineus,4,52,4,52,Between,No,Within,,,NA,NA,,
605,,NA,,52,Potamogeton natans,Potamogeton praelongus,4,52,4,52,Between,No,Within,,,NA,NA,,
606,,NA,,39,Potamogeton natans,Potamogeton berchtoldii,4,52,2,26,Between,No,Between,,,NA,NA,,
607,,NA,,,Potamogeton polygonifolius,Potamogeton gramineus,2,28,4,52,Between,No,Between,,,NA,NA,,
608,,NA,,27,Potamogeton polygonifolius,Potamogeton berchtoldii,2,28,2,26,Between,No,Within,,,NA,NA,,
609,,NA,,40,Potamogeton coloratus,Potamogeton gramineus,2,26 (28),4,52,Between,No,Between,,,NA,NA,,
610,,NA,,,Potamogeton coloratus,Potamogeton berchtoldii,2,26,2,26,Between,No,Within,"A reassessment of the hybrid Potamogeton x gessnacensis G. Fisch.(P. natans x P. polygonifolius, Potamogetonaceae) in Britain",,NA,NA,,
611,,NA,,52,Potamogeton lucens,Potamogeton gramineus,4,52,4,52,Between,No,Within,,,NA,NA,,
612,,NA,,,Potamogeton lucens,Potamogeton alpinus,4,52,4,52,Between,No,Within,,,NA,NA,,
613,,NA,,52,Potamogeton lucens,Potamogeton perfoliatus,4,52,4,52,Between,No,Within,,,NA,NA,,
614,,NA,,,Potamogeton lucens,Potamogeton crispus,4,52,4,52,Between,No,Within,,,NA,NA,,
615,,NA,,,Potamogeton gramineus,Potamogeton alpinus,4,52,4,52,Between,No,Within,,,NA,NA,,
616,,NA,,52,Potamogeton gramineus,Potamogeton perfoliatus,4,52,4,52,Between,No,Within,,,NA,NA,,
617,,NA,,,Potamogeton alpinus,Potamogeton praelongus,4,52,4,52,Between,No,Within,,,NA,NA,,
618,,NA,,,Potamogeton alpinus,Potamogeton perfoliatus,4,52,4,52,Between,No,Within,,,NA,NA,,
619,,NA,,,Potamogeton alpinus,Potamogeton crispus,4,52,4,52,Between,No,Within,,,NA,NA,,
620,,NA,,52,Potamogeton praelongus,Potamogeton perfoliatus,4,52,4,52,Between,No,Within,,,NA,NA,,
621,,NA,,52,Potamogeton perfoliatus,Potamogeton crispus,4,52,4,52,Between,No,Within,,,NA,NA,,
622,,NA,,,Potamogeton friesii,Potamogeton acutifolius,2,26,2,28,Between,No,Within,,,NA,NA,,
623,,NA,,65,Potamogeton friesii,Potamogeton crispus,2,26,4,52,Between,No,Within,,,NA,NA,,
624,,NA,,,Potamogeton pusillus,Potamogeton trichoides,Multiple,"26, 39",2,26,Between,No,,,,NA,NA,,
625,,NA,,,Potamogeton berchtoldii,Potamogeton acutifolius,2,26,2,28,Between,No,,,,NA,NA,,
626,,NA,,,Potamogeton trichoides,Potamogeton crispus,2,26,4,52,Between,No,Between,"A reassessment of the hybrid Potamogeton x gessnacensis G. Fisch.(P. natans x P. polygonifolius, Potamogetonaceae) in Britain",,NA,NA,,
627,,NA,,78,Stuckenia filiformis,Stuckenia pectinata,6,78,6,78,Between,No,Within,,,NA,NA,,
628,,NA,,,Cephalanthera damasonium,Cephalanthera longifolia,2,"32, 36, 54",2,"32, 34",Between,No,,,,NA,NA,,
629,,NA,,,Epipactis atrorubens,Epipactis helleborine,Multiple,"38, 40, 60",4,"36, 38, 40, 44",Between,No,,,,NA,NA,,
630,,NA,,,Epipactis purpurata,Epipactis helleborine,4,40,4,"36, 38, 40, 44",Between,No,,,,NA,NA,,
631,,NA,,,Epipactis helleborine,Epipactis leptochila,4,"36, 38, 40, 44",4,"36, 40",Between,No,,"The colour-differences in Epipactis helleborine (L.) Cr. Wats. & Coult., and the selection of the genetical varieties by environment",,NA,NA,,
632,,NA,,,Platanthera chlorantha,Platanthera bifolia,2,42,2,42,Between,No,Within,,,NA,NA,,
633,,NA,,,Platanthera bifolia,Gymnadenia borealis,2,42,2,40,Between,No,,,,NA,NA,,
635,,NA,,,Pseudorchis albida,Gymnadenia borealis,2,40,2,"40, 42",Between,No,,,,NA,NA,,
636,,NA,,,Pseudorchis albida,Dactylorhiza maculata,2,"40, 42",4,80,Between,No,,,,NA,NA,,
637,,NA,,,Gymnadenia conopsea,Coeloglossum viride,2,40,2,40,Between,No,Within,,,NA,NA,,
638,,NA,,,Gymnadenia borealis,Coeloglossum viride,2,40,2,40,Between,No,Within,,,NA,NA,,
639,,NA,,,Gymnadenia conopsea,Dactylorhiza fuchsii,2,40,2,40,Between,No,Within,,,NA,NA,,
